Speed1,E1,N1,Speed2,Alt2,E2,N2,U2,IVS1
19.09720665679369,21476.913020649296,67385.21841687262,16.844999988654443,310.3180000024629,21496.66514581485,67443.9097739518,-231.1477730753544,56.32593838087274
19.15739665940317,21476.309966821656,67383.4010495952,16.91699999056351,310.2960000024073,21496.087148274248,67442.31816750995,-231.15097266245905,56.5479178218351
19.227875542201247,21475.70691263451,67381.58368237494,16.99899998746168,310.28400000151333,21495.50922248884,67440.71555250655,-231.1440557356769,56.75951844608746
19.322018883703468,21475.10392204536,67379.74779189557,17.101999985499898,310.2700000019508,21494.939106976275,67439.10182844926,-231.13904801310417,56.980637712157936
19.3240766622697,21474.50093109482,67377.91190147253,17.191999993245282,310.2550000022954,21494.36902621129,67437.47697932733,-231.1349231087917,57.19123906569784
19.413589986118087,21473.89800373508,67376.05748778954,17.231999989498565,310.23600000246967,21493.798931690875,67435.85208791008,-231.1347984232397,57.4193711256881
19.49332888105794,21473.295076010112,67374.20307416246,17.346999986717744,310.2210000014345,21493.228927140623,67434.20500984405,-231.1304393067822,57.626503196295566
19.526767777675808,21472.6921479209,67372.34866059282,17.416999989559294,310.2090000026039,21492.658932378043,67432.55796360286,-231.12308085039555,57.8336870323046
19.53654221316173,21472.07625514126,67370.4942027912,17.516999986930408,310.1860000021752,21492.08893871484,67430.89968641517,-231.12660462753155,58.03434572352808
19.64508998897078,21471.46036198692,67368.63974505082,17.60099998899729,310.17700000151785,21491.51903024112,67429.23044299232,-231.1160121865637,58.22462572683224
19.679043329438027,21470.84453240452,67366.76676405231,17.685999989429842,310.1590000025635,21490.949091187373,67427.56110433553,-231.114419677744,58.43237536063096
19.735632212566767,21470.2157381065,67364.89373882588,17.765999987206012,310.143000001845,21490.3792353556,67425.86955784888,-231.1105926674633,58.62318216065655
19.802509993063648,21469.59997170299,67363.00223462822,17.86599998963737,310.1280000024758,21489.80938257589,67424.17802201117,-231.10576621859283,58.82745726593111
19.84932443630688,21468.984140985365,67361.1292538092,17.918999992908816,310.10600000308546,21489.23954434021,67422.4752975879,-231.10782228424537,59.003548295473536
19.91105777378433,21468.355409475287,67359.23770545077,18.007999981818248,310.0850000024205,21488.669709155616,67420.77258381795,-231.1088789180886,59.20132735651194
19.92494777158679,21467.739641929464,67357.34620143687,18.14299999012348,310.0680000024525,21488.09218498875,67419.04765679888,-231.10567476894303,59.37149838791005
20.01343220995208,21467.110973581253,67355.43612988098,18.163999995189144,310.0450000037972,21487.51464032127,67417.32266632037,-231.1084707675736,59.563279605166855
20.08391110267652,21466.46927654706,67353.54453743146,18.243999988630843,310.014000004004,21486.937106824887,67415.58647668526,-231.1191492539336,59.73095975610968
20.165707762760373,21465.84067133703,67351.61594268576,18.32099998730489,309.9890000026498,21486.359593182955,67413.8503506396,-231.1238286379697,59.929746581861146
20.256764443675564,21465.199037438524,67349.70582704438,18.43399998594524,309.9720000022439,21485.78218290728,67412.09208027883,-231.12027397134068,60.09406723609812
20.23001332564929,21464.55746706196,67347.77718815129,18.525999986768024,309.9540000024013,21485.19699001257,67410.33377280443,-231.11769333983025,60.27348625277133
20.3961788644918,21463.915896280745,67345.8485493225,18.61499999442096,309.9360000025839,21484.61961410545,67408.56437745193,-231.11502216116267,60.44482591183489
20.496495553974448,21463.27438901757,67343.90138723995,18.639999989825565,309.9150000029044,21484.03444885028,67406.79492382055,-231.1153248988784,60.63123906339424
20.48311999586004,21462.61991695986,67341.95418095058,18.763999986472086,309.89300000305667,21483.44935667468,67405.00323060485,-231.11639307824268,60.8006643124963
20.592696646221988,21461.978408874867,67340.00701900174,18.8229999908422,309.8700000029277,21482.86426079873,67403.21152687147,-231.1184617539536,60.96597197998303
20.725423322043067,21461.323999906064,67338.0412895318,18.914999989611037,309.8520000016701,21482.27921978308,67401.40876159484,-231.1154137825063,61.14247340153001
20.743428894021424,21460.656626116845,67336.07551585861,18.974999989741814,309.8410000020233,21481.68642302064,67399.60604388197,-231.1053403677861,61.32070194447833
20.72902443375984,21460.00221629934,67334.109786524,19.08399998360172,309.8200000030784,21481.09363067516,67397.79210586655,-231.1051493916445,61.48416770907366
20.88335775924472,21459.34786997359,67332.12553393943,19.178999993929374,309.80200000132487,21480.5008864514,67395.96708513232,-231.1018416706657,61.6546932550058
20.95589443823852,21458.68055881179,67330.14123715882,19.204999992096106,309.79400000206124,21479.90817549581,67394.14217029673,-231.0885351403748,61.82945315370064
21.009911103677613,21458.026275535543,67328.13846139188,19.30999998513203,309.77200000246467,21479.307714938943,67392.2948517184,-231.0889668933936,61.9939500459124
21.06135554916184,21457.35902741515,67326.1356414321,19.40699998629863,309.75900000212744,21478.699505326167,67390.44760186804,-231.0803733618632,62.16019666872484
21.107655549327877,21456.6917788566,67324.13282154125,19.512999988173448,309.73800000267687,21478.09130683492,67388.58915289407,-231.0796624376925,62.31581884332515
21.190995534820622,21456.02452986167,67322.13000172397,19.574999993511483,309.7220000020312,21477.483124786588,67386.73075690036,-231.07395242063308,62.4714981876536
